t,mean_weighted,mean_unweighted,median,p10,p25,p75,p90
1,0.33361834734196777,0.1006326814053097,-0.060240963855423546,-3.7583239422190324,-1.7346850681259713,1.5435835351089666,4.073163301634367
2,0.01720280500881366,-0.23806911506256317,-0.5601807304522421,-5.839450853274859,-2.407698657029406,1.624856162360866,4.2672236531676875
3,0.3371217980362304,0.1395674961717286,-0.8117587151224515,-6.23902141501762,-3.736536311831651,2.6358718270033386,6.545280447832651
4,0.43264432438301936,0.12462679380353017,-0.9857055734956433,-7.894257703081238,-3.9213030405235716,3.004213918927973,6.823606864703569
5,0.10232318668697177,-0.19176767417989168,-1.701227284854595,-8.172317430092741,-4.522449762408399,2.9291018184010973,7.643614851081183
6,-0.255689606855181,-0.6225819428772571,-1.7006956908531712,-8.722551064221312,-4.936000041174077,1.5917642731850867,5.705035214968995
7,-0.19315638111575417,-0.5888762471134777,-2.0167100492702428,-8.523087684332568,-5.977542157361402,1.1901614720630393,5.8218329416791335
8,-0.38380948573852597,-0.7605768122792674,-1.9584107388985472,-10.13686190870906,-6.5984702404558195,1.5541793056959796,7.663580498580475
9,-0.2812990491225737,-0.8067202789509397,-2.8786581445700454,-11.478439770517733,-6.620345983729231,1.6881872338532666,8.378752858136995
10,-0.17223641926589095,-0.7406997664860205,-2.424331472230384,-12.795516675779114,-7.167714029179006,1.9626604058791297,7.737443064828098
11,-0.648904904410663,-0.8974372204085114,-2.904124928492313,-14.107879428873614,-7.729273999876844,2.6657680157456785,8.254808218678164
12,-0.3579374879038643,-0.5880426750953226,-2.634081915576675,-13.561108367396258,-8.883641822811752,2.837556326443036,8.348793062007342
13,-0.4246137188352901,-0.7419494754758319,-3.019695561419816,-13.793442622950815,-9.121999579809867,3.1650270165543617,10.775601727197513
14,-0.5751037160542115,-0.7818278248368041,-3.008955024392418,-13.834350984314137,-8.592817277359869,3.5710357653504996,14.043944998919692
15,-1.0633183272084636,-1.1715728843997308,-3.48456931644725,-13.207388316151206,-9.67694202478841,2.9099318378220884,13.790768552122408
16,-0.9867066916224155,-1.0784725519402352,-3.619319024069717,-14.91141858526262,-9.444310511089682,2.7646058061246706,15.168327551982037
17,-0.7200049951415499,-0.7761681895602036,-3.2463895131282117,-14.655264290545391,-9.341078658737962,4.1215534984747,13.656186714254241
18,-1.3186189014542369,-1.2940218568349875,-4.3034188034188015,-15.536787354220003,-9.463655759156875,3.5470533005922347,16.504445490403977
19,-0.9825346696801837,-1.0981179193964095,-4.10777465299828,-16.41778149386845,-9.529081438699219,3.887966253695163,17.703988506508356
20,-0.8285229570072358,-0.8609993350538752,-3.8266953159016124,-16.850360252912246,-9.391043892216938,4.573079503161459,16.775636078197522
