t,mean_hat(%),q10(%),q25(%),q50(%),q75(%),q90(%)
1,-0.3298571286581442,-2.8799464625726605,-1.3373535646599253,-0.2474666393947661,0.5632810104626751,1.0894835240589176
2,-0.13958450912909987,-3.781078469759,-2.095247700347999,0.04251235885951843,1.3532316487416853,2.2079907668662284
3,-0.03563046190513325,-4.546267778741916,-2.613995613524149,-0.5581542230301786,2.185606385962215,3.75855643923039
4,0.005459473670080574,-4.516284032774486,-2.2046320561874904,-0.5292640951549614,1.3907173365414083,3.6233400304047256
5,0.6846491944870808,-5.262596828791972,-2.6622417849517146,-0.7915155275233283,2.964842423993804,5.727162651691356
6,1.1895169397501633,-8.762622792307402,-3.648184230936739,0.4361543924774493,4.878136787451662,8.772422158545645
7,1.4621003110113326,-9.408654126378478,-3.203625082783165,0.8426426415195793,4.175745450373101,8.85244028026093
8,1.5120715983051283,-8.00168956742183,-3.3283411918748325,0.2149114300825362,5.347749077421664,9.225829854547008
9,1.67700994219299,-8.731908557919683,-2.77902686594518,0.4590284042317181,5.794747531227457,9.270042649390504
10,1.2724684221835143,-9.932128026460608,-2.275072344609529,0.7974968986252823,5.304671647540791,9.97707801961972
11,1.8450617026525982,-10.909596725703226,-2.418758611241882,1.3248193078459993,5.7484754736270895,10.76603637376286
12,1.7376649598100935,-12.038226907305894,-3.9061235396183482,2.272695230766722,6.45944011426159,10.812102019120985
13,2.2473959740930125,-12.627811195572344,-4.407078956589694,3.255542033678976,7.689997995105244,13.252042956167102
14,2.4610594679838687,-13.386622763564848,-4.793086265297654,3.0183790805788115,8.176532348551586,12.95282520416396
15,2.6745532091081317,-13.052711735829437,-5.1391831063645785,2.9476394734577003,8.038518759189545,13.14648509711326
16,3.0998335812315276,-14.440160907089934,-2.9466503039824596,3.780227220335512,9.157901845684101,12.667440381057633
17,3.359937200585979,-14.547182237557013,-2.7138019170316743,4.256576925430681,9.95992547542411,14.44635074035185
18,2.6399649020611053,-14.926075701803299,-4.124703958640761,2.7898373935473177,8.660020075392172,13.525876481629478
19,1.856815231043207,-13.18545158335284,-5.890221582630975,2.2721617016898477,7.323017099470568,12.13365406656288
20,1.939343789269364,-15.249122934972805,-4.583101723487792,3.1516850381648407,7.431780666644745,14.400295915503193
